Scene Codes
@007c: 长安·尚书府·刘晋元居所·刘晋元房间(原始,刘晋元趴倒）
@007d: 长安·尚书府·刘晋元居所·刘晋元房间(刘晋元立）
@007e: 长安·尚书府·刘晋元居所·刘晋元房间(笨天师画符）
@007f: 长安·酒楼·一层
@0080: 长安·荒酒楼（无人）
@0081: 长安·百花浴
@0082: 长安·妓院·一楼
@0083: 长安·妓院·二楼
@0084: 长安·妓院·各房间
@0085: 长安·妓院·各房间
@0086: 长安·妓院·各房间（莺莺夫人）
@0087: 长安·兵器铺
@0088: 长安·民居·
@0089: 长安·民居·商人家
@008a: 毒仙林·大蜘蛛居所（战前）
@008b: 毒仙林·迷宫
@008c: 毒仙林·大蜘蛛居所（战后）
@008d: 忆往昔·毒仙林晋元救蝶
@008e: 忆往昔·尚书府蝶仙化形
@008f: 忆往昔·晋元房双亲订婚
@0090: 锁妖塔·七星盘龙柱
@0091: 锁妖塔·底层（灵儿被缚）
@0092: 锁妖塔·八层
@0093: 锁妖塔·五层（姜清）
@0094: 锁妖塔·三层（天鬼皇）
@0095: 锁妖塔·五层（崩溃）
@0096: 蜀山云海·独立酒剑仙
@0097: 田园·长安城外
@0098: 锁妖塔·底层（未被缚）
@0099: 锁妖塔·底层（妖议）
@009a: 锁妖塔·三层（书中仙）
@009b: 蜀山·前山
@009c: 锁妖塔·二层（化妖池）
@009d: 蜀山仙剑派正殿·外
@009e: 蜀山仙剑派后山
@009f: 蜀山仙剑派正殿·内
@00a0: 仙剑派弟子房间
@00a1: 蜀山云海·前段
@00a2: 蜀山云海·后段
@00a3: 锁妖塔外
@00a4: 锁妖塔全景
@00a5: 锁妖塔·七层
@00a6: 锁妖塔·六层
@00a7: 锁妖塔·四层
@00a8: 锁妖塔·底层·外
@00a9: 忆往昔·灵岛仙宫亲为辩
@00aa: 忆往昔·灵池未料此般逢
@00ab: 忆往昔·拼尽残生为还魂
@00ac: 恍惚·林月如
@00ad: 灵儿生产
@00ae: 李逍遥醒来
@00af: 桃源村
@00b0: 圣姑室外
@00b1: 圣姑室外·剑圣黯离
@00b2: 桃花源·大雾
@00b3: 灵山
@00b4: 桃花源·门户; !!!
@00b5: 桃花源·决战木道人
@00b6: 桃源村·化林
@00b7: 桃源村·褒奖
@00b8: 树洞·迷宫
@00b9: 神木林·凤凰巢
@00ba: 神木林·底
@00bb: 树洞·开
@00bc: 废神木林
@00bd: 桃花源·迷宫·前;!!!
@00be: 桃花源·迷宫·后;!!!
@00bf: 大理·各白苗住房
@00c0: 神木林·迷宫
@00c1: 忆往昔·欢喜冤家擂前约
@00c2: 忆往昔·心事暗怀二人心
@00c3: 忆往昔·忧逍遥月如离堡
@00c4: 忆往昔·逞侠肝怒斥逃奴
@00c5: 忆往昔·扬州夜月如幽叹
@00c6: 忆往昔·尚书府二人谐心
@00c7: 忆往昔·言犹在耳成永谶
@00c8: 火麒麟洞·终（火麒麟兽）
@00c9: 梦之床
@00ca: 大理·城郊（正常）
@00cb: 大理·女娲神殿（正常）
@00cc: 大理·祭坛(正常）
@00cd: 大理·族议厅（正常）
@00ce: 大理·废汉人聚居地
@00cf: 大理·商业区
@00d0: 大理·汉人聚居地（正常）
@00d1: 大理·汉人聚居地·商业区
@00d2: 大理·族议厅·楼下
@00d3: 大理·女娲神殿·外(正常）
@00d4: 火麒麟洞·
@00d5: 试炼窟·女娲遗迹
@00d6: 土路·试炼窟外·1
@00d7: 土路·试炼窟外·2（遭遇盖罗娇）
@00d8: 试炼窟·？
@00d9: 试炼窟·？
@00da: 试炼窟·？
@00db: 试炼窟·？
@00dc: 试炼窟·？(二层门）
@00dd: 废二层
@00de: 试炼窟·二层?
@00df: 试炼窟·二层?
@00e0: 试炼窟·？
@00e1: 试炼窟·三层?
@00e2: 试炼窟·三层·所有伏
@00e3: 路途·回魂仙梦
@00e4: 回魂仙梦·南绍王宫·地牢(关）
@00e5: 回魂仙梦·南绍王宫·外
@00e6: 回魂仙梦·南绍王宫·秘道
@00e7: 回魂仙梦·水底秘道·后段
@00e8: 路途一·回魂仙梦
@00e9: 回魂仙梦·水底秘道·前段
@00ea: 回魂仙梦·南绍王宫·地牢(开）
@00eb: 回魂仙梦·南绍
@00ec: 回魂仙梦·南绍王宫
@00ed: 回魂仙梦·南绍王宫·内殿
@00ee: 回魂仙梦·南绍王宫·秘道·外
@00ef: 南绍王宫·无用宫室
@00f0: 南绍王宫·无用宫室一
@00f1: 南绍王宫·秘道·内·（空）
@00f2: 南绍王宫·秘道·内·（空）
@00f3: 南绍王宫·秘道·内·（空）
@00f4: 南绍王宫·秘道·内·（空）
@00f5: 回魂仙梦·南绍王宫·秘道·地牢(囚怪）
@00f6: 南绍王宫·秘道·内·？（天蛇杖）
@00f7: 回魂仙梦·余杭·山神庙·外
@00f8: 回魂仙梦·余杭·十年前
@00f9: 回魂仙梦·余杭·山神庙·内（姥姥伤）
@00fa: 回魂仙梦·余杭·十里坡
@00fb: 回魂仙梦·余杭·客栈·大厅
@00fc: 回魂仙梦·余杭·客栈·房间
@00fd: 回魂仙梦·余杭
@00fe: 回魂仙梦·余杭·集市
@00ff: 回魂仙梦·余杭·集市·各无人分立屋宇+废屋
@0100: 回魂仙梦·余杭·集市·铁匠铺
@0101: 回魂仙梦·余杭·集市·林师傅木匠铺
@0102: 大理·祭坛(已摆满，动画前）
@0103: 大理·城郊（战）
@0104: 路·试炼窟外（战）
@0105: 大理·城郊（战）（此二有一为动画用）
@0106: 大理·祭坛（载歌载舞）
@0107: 大理·女娲神殿·外（防）
@0108: 大理·女娲神殿（灵儿拜母）
@0109: 大理·女娲神殿（防）
@010a: 火麒麟洞·终（无）
@010b: 大理·族议厅（战）
@010c: 大理·各分立屋宇（空，逃难？）
@010d: 大理·汉人聚居地（屠杀）
@010e: 大理·汉人聚居地·商业区（空）
@010f: 大理·民居？（空）
@0110: 大理·祭坛（空，疑为开口）
@0111: 火麒麟洞·一（空）
@0112: 废大理（空，不整）
@0113: 大理（雨后）
@0114: 大理·女娲神殿·外（雨中）
@0115: 南绍王宫·秘道·外
@0116: 南绍王宫·内殿（假巫王）
@0117: 南绍王宫·秘道·内·（怪）
@0118: 南绍王宫·外（空）
@0119: 南绍王宫（空）
@011a: 南绍王宫·无用宫室
@011b: 南绍王宫·无用宫室一
@011c: 南绍王宫·地牢（门开）
@011d: 南绍王宫·秘道·（怪）
@011e: 南绍王宫·秘道·（怪）
@011f: 南绍王宫·秘道·（怪）
@0120: 南绍王宫·秘道·（怪）
@0121: 南绍王宫·秘道·地牢(怪）
@0122: 南绍王宫·秘道·（宝）
@0123: 无底深渊·
@0124: 无底深渊·
@0125: 无底深渊·起始
@ffff: 当前地图
