
0700指令参数1：敌人组合，空的栏位指战斗中有可能增加敌人
以下数据取自data.mkf
结构：每10一个记录，顺序排列，0xffff即空

(0000)8E01 史莱姆　|8E01 史莱姆　|无 　　　　　|无 　　　　　|无 　　　　　
(3C00)A301 僵尸　　|A301 僵尸　　|A301 僵尸　　|无 　　　　　|无 　　　　　
(3D00)9701 开膛鬼　|A301 僵尸　　|无 　　　　　|无 　　　　　|无 　　　　　
(3E00)9701 开膛鬼　|8F01 灯笼　　|无 　　　　　|无 　　　　　|无 　　　　　
(3F00)B901 扫把　　|B901 扫把　　|B901 扫把　　|无 　　　　　|无 　　　　　
(4000)空的 　　　　|9901 菜刀婆婆|空的 　　　　|空的 　　　　|空的 　　　　
(4100)9901 菜刀婆婆|9701 开膛鬼　|空的 　　　　|空的 　　　　|空的 　　　　
(4200)9701 开膛鬼　|9901 菜刀婆婆|9701 开膛鬼　|空的 　　　　|空的 　　　　
(4300)9701 开膛鬼　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(4400)9801 半截僵尸|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(4500)F801 僵尸兵A |无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(4600)F901 僵尸兵B |无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(4700)FA01 僵尸兵C |无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(4800)B101 飞头　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(4900)B101 飞头　　|B101 飞头　　|B101 飞头　　|无 　　　　　|无 　　　　　
(4A00)F801 僵尸兵A |F901 僵尸兵B |FA01 僵尸兵C |无 　　　　　|无 　　　　　
(4B00)F801 僵尸兵A |F901 僵尸兵B |F801 僵尸兵A |无 　　　　　|无 　　　　　
(4C00)F901 僵尸兵B |F901 僵尸兵B |无 　　　　　|无 　　　　　|无 　　　　　
(4D00)FA01 僵尸兵C |FA01 僵尸兵C |无 　　　　　|无 　　　　　|无 　　　　　
(4E00)C401 白无常　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(4F00)C401 白无常　|C401 白无常　|无 　　　　　|无 　　　　　|无 　　　　　
(5000)C401 白无常　|F801 僵尸兵A |无 　　　　　|无 　　　　　|无 　　　　　
(5100)C401 白无常　|C401 白无常　|8F01 灯笼　　|无 　　　　　|无 　　　　　
(5200)B401 伏地罗汉|B401 伏地罗汉|无 　　　　　|无 　　　　　|无 　　　　　
(5300)B401 伏地罗汉|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(5400)空的 　　　　|BD01 血云雾　|空的 　　　　|无 　　　　　|无 　　　　　
(5500)A901 青鬼　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(5600)AB01 红鬼　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(5700)空的 　　　　|BD01 血云雾　|AB01 红鬼　　|无 　　　　　|无 　　　　　
(5800)AB01 红鬼　　|A901 青鬼　　|AB01 红鬼　　|无 　　　　　|无 　　　　　
(5900)B701 连体妖　|B701 连体妖　|无 　　　　　|无 　　　　　|无 　　　　　
(5A00)B701 连体妖　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(5B00)A901 青鬼　　|A901 青鬼　　|无 　　　　　|无 　　　　　|无 　　　　　
(5C00)A901 青鬼　　|AB01 红鬼　　|B701 连体妖　|无 　　　　　|无 　　　　　
(5D00)1902 绿食火蟾|1902 绿食火蟾|1902 绿食火蟾|无 　　　　　|无 　　　　　
(5E00)1902 绿食火蟾|1902 绿食火蟾|无 　　　　　|无 　　　　　|无 　　　　　
(5F00)9A01 小土鬼　|9A01 小土鬼　|9A01 小土鬼　|无 　　　　　|无 　　　　　
(6000)9A01 小土鬼　|9A01 小土鬼　|无 　　　　　|无 　　　　　|无 　　　　　
(6100)9A01 小土鬼　|1902 绿食火蟾|9A01 小土鬼　|无 　　　　　|无 　　　　　
(6200)9A01 小土鬼　|9A01 小土鬼　|EB01 五毒巨蛇|无 　　　　　|无 　　　　　
(6300)1902 绿食火蟾|EB01 五毒巨蛇|无 　　　　　|无 　　　　　|无 　　　　　
(6400)AA01 蜥蜴　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(6500)AA01 蜥蜴　　|1902 绿食火蟾|AA01 蜥蜴　　|无 　　　　　|无 　　　　　
(6600)E501 胖苗　　|E501 胖苗　　|无 　　　　　|无 　　　　　|无 　　　　　
(6700)C601 刀手　　|C601 刀手　　|C601 刀手　　|无 　　　　　|无 　　　　　
(6800)DB01 剑护院　|DC01 锤护院　|E101 暗器手　|无 　　　　　|无 　　　　　
(6900)DD01 小双钩　|C601 刀手　　|BB01 罗汉腿　|无 　　　　　|无 　　　　　
(6A00)BB01 罗汉腿　|BB01 罗汉腿　|无 　　　　　|无 　　　　　|无 　　　　　
(6B00)DB01 剑护院　|DB01 剑护院　|无 　　　　　|无 　　　　　|无 　　　　　
(6C00)C201 枪卒　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(6D00)C201 枪卒　　|C201 枪卒　　|C201 枪卒　　|无 　　　　　|无 　　　　　
(6E00)DC01 锤护院　|E101 暗器手　|DC01 锤护院　|无 　　　　　|无 　　　　　
(6F00)C601 刀手　　|E101 暗器手　|无 　　　　　|无 　　　　　|无 　　　　　
(7000)DD01 小双钩　|C201 枪卒　　|无 　　　　　|无 　　　　　|无 　　　　　
(7100)0F02 苗枪卒　|0F02 苗枪卒　|0F02 苗枪卒　|无 　　　　　|无 　　　　　
(7200)E501 胖苗　　|0F02 苗枪卒　|无 　　　　　|无 　　　　　|无 　　　　　
(7300)9601 血口虫　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(7400)9601 血口虫　|9601 血口虫　|9601 血口虫　|无 　　　　　|无 　　　　　
(7500)9601 血口虫　|AA01 蜥蜴　　|9601 血口虫　|无 　　　　　|无 　　　　　
(7600)9601 血口虫　|1902 绿食火蟾|9601 血口虫　|无 　　　　　|无 　　　　　
(7700)EB01 五毒巨蛇|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(7800)1902 绿食火蟾|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(7900)1A02 蓝食火蟾|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(7A00)0602 食火蟾　|1902 绿食火蟾|1A02 蓝食火蟾|无 　　　　　|无 　　　　　
(7B00)1602 红史莱姆|1602 红史莱姆|无 　　　　　|无 　　　　　|无 　　　　　
(7C00)E801 绿色小蛇|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(7D00)0602 食火蟾　|0602 食火蟾　|无 　　　　　|无 　　　　　|无 　　　　　
(7E00)1A02 蓝食火蟾|1A02 蓝食火蟾|无 　　　　　|无 　　　　　|无 　　　　　
(7F00)F401 金蟾鬼母|1A02 蓝食火蟾|无 　　　　　|无 　　　　　|无 　　　　　
(8000)1902 绿食火蟾|F401 金蟾鬼母|1902 绿食火蟾|无 　　　　　|无 　　　　　
(8100)0602 食火蟾　|1902 绿食火蟾|无 　　　　　|无 　　　　　|无 　　　　　
(8200)0602 食火蟾　|1A02 蓝食火蟾|无 　　　　　|无 　　　　　|无 　　　　　
(8300)0402 小毒蝎　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(8400)0502 赤蜈蚣　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(8500)0402 小毒蝎　|0402 小毒蝎　|0402 小毒蝎　|无 　　　　　|无 　　　　　
(8600)0402 小毒蝎　|0402 小毒蝎　|无 　　　　　|无 　　　　　|无 　　　　　
(8700)0502 赤蜈蚣　|0502 赤蜈蚣　|0502 赤蜈蚣　|无 　　　　　|无 　　　　　
(8800)0502 赤蜈蚣　|0502 赤蜈蚣　|无 　　　　　|无 　　　　　|无 　　　　　
(8900)0502 赤蜈蚣　|0402 小毒蝎　|无 　　　　　|无 　　　　　|无 　　　　　
(8A00)F401 金蟾鬼母|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(8B00)9B01 跳蚤　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(8C00)9C01 小蜘蛛　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(8D00)9B01 跳蚤　　|9B01 跳蚤　　|9B01 跳蚤　　|无 　　　　　|无 　　　　　
(8E00)9C01 小蜘蛛　|9C01 小蜘蛛　|9C01 小蜘蛛　|无 　　　　　|无 　　　　　
(8F00)FC01 小树妖　|FC01 小树妖　|FC01 小树妖　|无 　　　　　|无 　　　　　
(9000)0202 五彩蜘蛛|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(9100)0202 五彩蜘蛛|0202 五彩蜘蛛|无 　　　　　|无 　　　　　|无 　　　　　
(9200)9C01 小蜘蛛　|0202 五彩蜘蛛|9C01 小蜘蛛　|无 　　　　　|无 　　　　　
(9300)FC01 小树妖　|0202 五彩蜘蛛|FC01 小树妖　|无 　　　　　|无 　　　　　
(9400)9C01 小蜘蛛　|FC01 小树妖　|9C01 小蜘蛛　|无 　　　　　|无 　　　　　
(9500)BC01 醉罗汉　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(9600)BE01 哈将　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(9700)BF01 金锤武士|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(9800)C001 巨斧武士|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(9900)C101 角力士　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(9A00)C001 巨斧武士|BF01 金锤武士|C101 角力士　|无 　　　　　|无 　　　　　
(9B00)BE01 哈将　　|BE01 哈将　　|BE01 哈将　　|无 　　　　　|无 　　　　　
(9C00)A201 小雷公　|A201 小雷公　|A201 小雷公　|无 　　　　　|无 　　　　　
(9D00)BC01 醉罗汉　|BC01 醉罗汉　|无 　　　　　|无 　　　　　|无 　　　　　
(9E00)C101 角力士　|C101 角力士　|无 　　　　　|无 　　　　　|无 　　　　　
(9F00)BF01 金锤武士|BF01 金锤武士|无 　　　　　|无 　　　　　|无 　　　　　
(A000)BE01 哈将　　|A201 小雷公　|无 　　　　　|无 　　　　　|无 　　　　　
(A100)C001 巨斧武士|C001 巨斧武士|无 　　　　　|无 　　　　　|无 　　　　　
(A200)C001 巨斧武士|BF01 金锤武士|无 　　　　　|无 　　　　　|无 　　　　　
(A300)EE01 剑老头　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(A400)1402 土蛟龙　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(A500)B801 刑天　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(A600)B801 刑天　　|B801 刑天　　|无 　　　　　|无 　　　　　|无 　　　　　
(A700)D501 狐狸精　|B801 刑天　　|无 　　　　　|无 　　　　　|无 　　　　　
(A800)AC01 公背婆　|A601 怪老子　|AC01 公背婆　|无 　　　　　|无 　　　　　
(A900)A601 怪老子　|AC01 公背婆　|A601 怪老子　|无 　　　　　|无 　　　　　
(AA00)A601 怪老子　|A601 怪老子　|无 　　　　　|无 　　　　　|无 　　　　　
(AB00)AC01 公背婆　|AC01 公背婆　|无 　　　　　|无 　　　　　|无 　　　　　
(AC00)AC01 公背婆　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(AD00)B901 扫把　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(AE00)B901 扫把　　|空的 　　　　|A501 大手　　|空的 　　　　|空的 　　　　
(AF00)空的 　　　　|空的 　　　　|A501 大手　　|空的 　　　　|空的 　　　　
(B000)A601 怪老子　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(B100)1702 紫兽人　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(B200)1702 紫兽人　|B801 刑天　　|无 　　　　　|无 　　　　　|无 　　　　　
(B300)C701 铁叉牛头|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(B400)C701 铁叉牛头|C701 铁叉牛头|无 　　　　　|无 　　　　　|无 　　　　　
(B500)C401 白无常　|B801 刑天　　|C701 铁叉牛头|无 　　　　　|无 　　　　　
(B600)1702 紫兽人　|C701 铁叉牛头|无 　　　　　|无 　　　　　|无 　　　　　
(B700)A101 猪头人　|B201 肥肥　　|无 　　　　　|无 　　　　　|无 　　　　　
(B800)B201 肥肥　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(B900)A101 猪头人　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(BA00)A201 小雷公　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(BB00)A001 芒刺鬼　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(BC00)空的 　　　　|0702 明王　　|空的 　　　　|无 　　　　　|无 　　　　　
(BD00)1502 黑凤凰　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(BE00)F701 鸟人　　|F701 鸟人　　|无 　　　　　|无 　　　　　|无 　　　　　
(BF00)0202 五彩蜘蛛|F701 鸟人　　|无 　　　　　|无 　　　　　|无 　　　　　
(C000)C801 猩猩　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(C100)0102 狒狒　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(C200)C801 猩猩　　|C801 猩猩　　|无 　　　　　|无 　　　　　|无 　　　　　
(C300)0102 狒狒　　|0102 狒狒　　|无 　　　　　|无 　　　　　|无 　　　　　
(C400)0102 狒狒　　|C801 猩猩　　|无 　　　　　|无 　　　　　|无 　　　　　
(C500)F701 鸟人　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(C600)0302 紫凤鸟　|F701 鸟人　　|无 　　　　　|无 　　　　　|无 　　　　　
(C700)0302 紫凤鸟　|0302 紫凤鸟　|无 　　　　　|无 　　　　　|无 　　　　　
(C800)0302 紫凤鸟　|0202 五彩蜘蛛|0302 紫凤鸟　|无 　　　　　|无 　　　　　
(C900)0302 紫凤鸟　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(CA00)9D01 石鬼头　|9D01 石鬼头　|9D01 石鬼头　|无 　　　　　|无 　　　　　
(CB00)D001 凤凰　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(CC00)FB01 半人树妖|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(CD00)FC01 小树妖　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(CE00)FD01 尖头树妖|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(CF00)FC01 小树妖　|FB01 半人树妖|FD01 尖头树妖|无 　　　　　|无 　　　　　
(D000)FD01 尖头树妖|FC01 小树妖　|FD01 尖头树妖|无 　　　　　|无 　　　　　
(D100)1902 绿食火蟾|FD01 尖头树妖|无 　　　　　|无 　　　　　|无 　　　　　
(D200)FD01 尖头树妖|1902 绿食火蟾|FD01 尖头树妖|无 　　　　　|无 　　　　　
(D300)FB01 半人树妖|FD01 尖头树妖|无 　　　　　|无 　　　　　|无 　　　　　
(D400)9D01 石鬼头　|9D01 石鬼头　|无 　　　　　|无 　　　　　|无 　　　　　
(D500)D501 狐狸精　|9101 烂香菇　|无 　　　　　|无 　　　　　|无 　　　　　
(D600)D501 狐狸精　|FC01 小树妖　|无 　　　　　|无 　　　　　|无 　　　　　
(D700)D501 狐狸精　|D501 狐狸精　|无 　　　　　|无 　　　　　|无 　　　　　
(D800)9101 烂香菇　|9101 烂香菇　|9101 烂香菇　|无 　　　　　|无 　　　　　
(D900)9201 凤梨小妖|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(DA00)0002 黑衣道众|0002 黑衣道众|0002 黑衣道众|无 　　　　　|无 　　　　　
(DB00)0002 黑衣道众|0002 黑衣道众|无 　　　　　|无 　　　　　|无 　　　　　
(DC00)0002 黑衣道众|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(DD00)空的 　　　　|DA01 木灵道士|空的 　　　　|无 　　　　　|无 　　　　　
(DE00)CE01 树妖　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(DF00)F501 盖罗娇1 |EA01 五毒巨蝎|无 　　　　　|无 　　　　　|无 　　　　　
(E000)CF01 麒麟　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(E100)1302 火蛟龙　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(E200)0902 雷龙　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(E300)A801 小独角　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(E400)A801 小独角　|0602 食火蟾　|A701 树根　　|无 　　　　　|无 　　　　　
(E500)A801 小独角　|A801 小独角　|A801 小独角　|无 　　　　　|无 　　　　　
(E600)A801 小独角　|A801 小独角　|无 　　　　　|无 　　　　　|无 　　　　　
(E700)A701 树根　　|A701 树根　　|A701 树根　　|无 　　　　　|无 　　　　　
(E800)A701 树根　　|A701 树根　　|无 　　　　　|无 　　　　　|无 　　　　　
(E900)A701 树根　　|0602 食火蟾　|A701 树根　　|无 　　　　　|无 　　　　　
(EA00)E801 绿色小蛇|E701 赤色小蛇|E801 绿色小蛇|E801 绿色小蛇|无 　　　　　
(EB00)CA01 小苗女　|CA01 小苗女　|无 　　　　　|无 　　　　　|无 　　　　　
(EC00)CC01 长鞭苗女|CC01 长鞭苗女|无 　　　　　|无 　　　　　|无 　　　　　
(ED00)E501 胖苗　　|CC01 长鞭苗女|无 　　　　　|无 　　　　　|无 　　　　　
(EE00)CA01 小苗女　|E501 胖苗　　|CA01 小苗女　|无 　　　　　|无 　　　　　
(EF00)2502 苗枪卒1 |CC01 长鞭苗女|2502 苗枪卒1 |无 　　　　　|无 　　　　　
(F000)C901 双节棍苗|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(F100)CA01 小苗女　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(F200)CB01 小巫师　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(F300)CC01 长鞭苗女|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(F400)9501 小鱼　　|9501 小鱼　　|9501 小鱼　　|9501 小鱼　　|9501 小鱼　　
(F500)9501 小鱼　　|AF01 大蝌蚪　|9501 小鱼　　|9501 小鱼　　|无 　　　　　
(F600)9501 小鱼　　|B001 蚌壳　　|9501 小鱼　　|9501 小鱼　　|无 　　　　　
(F700)B501 海螺女　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(F800)B501 海螺女　|AF01 大蝌蚪　|无 　　　　　|无 　　　　　|无 　　　　　
(F900)AD01 傻仔龟　|AE01 短腿章鱼|无 　　　　　|无 　　　　　|无 　　　　　
(FA00)9501 小鱼　　|AD01 傻仔龟　|9501 小鱼　　|无 　　　　　|无 　　　　　
(FB00)AF01 大蝌蚪　|AF01 大蝌蚪　|AF01 大蝌蚪　|无 　　　　　|无 　　　　　
(FC00)AF01 大蝌蚪　|AF01 大蝌蚪　|无 　　　　　|无 　　　　　|无 　　　　　
(FD00)B001 蚌壳　　|B001 蚌壳　　|B001 蚌壳　　|无 　　　　　|无 　　　　　
(FE00)AE01 短腿章鱼|AE01 短腿章鱼|无 　　　　　|无 　　　　　|无 　　　　　
(FF00)AD01 傻仔龟　|AD01 傻仔龟　|无 　　　　　|无 　　　　　|无 　　　　　
(0001)9501 小鱼　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(0101)AD01 傻仔龟　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(0201)AE01 短腿章鱼|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(0301)AF01 大蝌蚪　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(0401)B001 蚌壳　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(0501)CA01 小苗女　|C901 双节棍苗|CA01 小苗女　|无 　　　　　|无 　　　　　
(0601)C901 双节棍苗|C901 双节棍苗|无 　　　　　|无 　　　　　|无 　　　　　
(0701)C901 双节棍苗|CC01 长鞭苗女|无 　　　　　|无 　　　　　|无 　　　　　
(0801)2502 苗枪卒1 |C901 双节棍苗|无 　　　　　|无 　　　　　|无 　　　　　
(0901)C901 双节棍苗|CB01 小巫师　|无 　　　　　|无 　　　　　|无 　　　　　
(0A01)9A01 小土鬼　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(0B01)空的 　　　　|0A02 黑巫师　|空的 　　　　|空的 　　　　|空的 　　　　
(0C01)空的 　　　　|空的 　　　　|0B02 黑苗祭司|空的 　　　　|空的 　　　　
(0D01)CB01 小巫师　|CB01 小巫师　|CB01 小巫师　|无 　　　　　|无 　　　　　
(0E01)CB01 小巫师　|CB01 小巫师　|无 　　　　　|无 　　　　　|无 　　　　　
(0F01)CA01 小苗女　|CB01 小巫师　|CA01 小苗女　|无 　　　　　|无 　　　　　
(1001)CC01 长鞭苗女|CB01 小巫师　|无 　　　　　|无 　　　　　|无 　　　　　
(1101)1802 土蜘蛛　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1201)CD01 蛟龙　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1301)FE01 尖嘴魔兵|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1401)FE01 尖嘴魔兵|FF01 铁棍魔兵|无 　　　　　|无 　　　　　|无 　　　　　
(1501)FF01 铁棍魔兵|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1601)ED01 青兽人　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
